Year	RSDN(1)_Night=0	RSUP(1)_Night=0	RLDN(1)	RLUP(1)	RNET(1)	PPT(1)	NEE 	GPP	RE 	ET	H	LE	 T_AIR(1)	T_SOIL
2010	1887.45	46.98689743	13840.35785	15686.86208	-6.041124934	0	-0.7937067	2.484446	1.690739	0.232923	108.6261934	315.740444	-0.053622598	1.781814583
2010	7884.92	368.7720222	13649.29955	16447.8545	4717.593028	6	-3.6203164	5.833034	2.212718	1.321526	1618.547531	1791.402536	3.630139115	2.470475
2010	8779.93	394.8118004	13131.23695	17110.81187	4405.543275	0	-3.5138525	6.273972	2.76012	1.047687	1763.144606	1420.197317	7.125083854	3.3043625
2010	4237.32	206.1516629	13692.76256	16615.09608	1108.834819	0	-1.3479183	3.73088	2.382961	0.643951	-122.8156815	872.9108802	4.63816724	3.907658333
2010	8710.32	543.5120458	11698.31331	15719.20791	4145.913354	0	-2.6324967	4.464933	1.832436	0.686793	4064.411773	930.9856605	0.454017083	1.96058125
2010	2606.84	84.16045076	14353.37273	16366.13737	509.9149137	0	-0.8993827	3.104288	2.204906	0.232749	146.960556	315.5048521	3.445130854	2.715633333
2010	11896.92	688.6010709	12365.38467	16384.66334	7189.04026	0	-4.9454811	7.204203	2.258722	1.5177	5304.337654	2057.326856	3.7742935	2.71689375
2010	11723.79	613.7445785	11978.30984	16505.93092	6582.424344	0	-4.5401379	6.879064	2.338926	1.485149	4544.977624	2013.202497	4.21885554	2.6537375
2010	8684.97	413.7507428	13523.80056	17082.5228	4712.497023	0	-3.1835755	5.71185	2.528275	1.039892	1776.713798	1409.631206	5.448382875	3.303052083
2010	1620.03	13.49310829	16008.45485	17042.42409	572.5676583	7.5	0.0662642	2.599531	2.665795	0.387463	-456.3579641	525.2273666	6.449004375	4.57218125
2010	817.78	0.758950265	15241.22785	16873.95567	-815.7067685	1	1.5184093	1.207416	2.725825	0.313722	-1031.243891	425.2680054	6.649552292	5.256679167
2010	12255.73	615.1585415	11636.58802	16548.32182	6728.837659	0	-4.9301742	7.315337	2.385162	1.379249	5414.269102	1869.648752	3.914371694	3.668677083
2010	12905.1	658.0196204	11102.43214	16436.09924	6913.413272	0	-5.4920391	7.812444	2.320405	1.501145	5555.697519	2034.885825	3.305147542	3.243566667
2010	10497.41	526.1738401	12191.23094	17034.17111	5128.295989	0	-5.0260208	7.647963	2.621943	1.4148	3253.530622	1917.839692	5.035814063	3.243427083
2010	9490.56	472.137014	13595.79549	17659.96221	4954.25626	0	-3.4995032	6.62149	3.121986	1.267954	2543.175263	1718.781647	8.205190479	4.441702083
2010	5721.98	234.9396844	14104.57067	17252.60593	2339.005055	0	-1.829799	4.904668	3.074869	0.905352	1003.80228	1227.255009	7.951192708	5.628345833
2010	13237.6	662.2079254	11638.82749	17052.47119	7161.748377	0	-6.3141303	9.107072	2.792941	2.017079	5566.870157	2734.262357	5.82388316	4.388391667
2010	12021.23	614.6861796	12140.13776	17346.43872	6200.242869	0	-5.1649197	8.090206	2.925286	1.879961	4405.411241	2548.391391	6.335947765	4.37188125
2010	12469.55	610.1906595	12898.48982	17854.71458	6903.134582	0	-5.2668448	8.619104	3.352259	2.019641	4644.110515	2737.735713	8.855039038	5.301622917
2010	1660.12	22.18166283	15706.12594	17638.79153	-294.7272504	0	0.9016183	2.468073	3.369691	0.646054	-724.0227979	875.7620142	8.988780417	6.172547917
2010	8451.43	456.9108689	14554.29011	18105.98191	4442.827335	0.5	-2.8104649	6.573106	3.762641	1.362887	2238.680101	1847.469314	10.99912333	6.757952083
2010	5597.32	226.4888656	16078.70796	17994.56669	3454.972407	4.5	-1.1897109	4.969344	3.779633	0.869795	606.5528445	1179.055638	10.97967167	7.49084375
2010	9140.66	459.2184627	13452.63508	16545.98945	5588.087158	3	-3.0005976	5.683915	2.683318	0.810631	4981.741195	1098.855347	4.249612083	6.021658333
2010	8586.04	451.4036424	12177.37938	16233.45273	4078.56301	0	-3.7711761	6.29496	2.523784	0.945838	4300.638487	1282.136114	3.067235915	3.897502083
2010	13741.53	688.9616148	11583.33832	16929.48386	7706.422841	0	-5.976158	8.830162	2.854004	2.18079	6378.512484	2956.181965	4.740565156	3.874183333
2010	13152.28	736.6786384	11971.50063	17266.20589	7120.896107	0	-6.4651104	9.52506	3.059949	2.346179	5911.832783	3180.37598	5.863523403	4.565335417
2010	7723.54	388.9892558	13010.80224	16721.61011	3623.74287	0	-4.3929022	7.331482	2.93858	0.97053	3048.865283	1315.607443	5.030429146	4.388891667
2010	6750.81	336.0941596	14966.57736	17832.01903	3549.274176	0	-2.3263944	6.142196	3.815802	1.124821	1754.639344	1524.757133	9.833851458	5.6301875
2010	2492.6	34.65708754	16701.64542	18467.05636	692.5319768	0	0.8287195	3.584734	4.413454	0.459503	-229.2010096	622.8823174	13.03583125	7.738727083
